ID,ideology,leadership,name,party,description,introduced_bills_116,cosponsored_bills_116,unique_cosponsors_116,total_cosponsors_116
400419,0.6128261680955156,0.6268689683882191,Walden,Republican,rank-and-file Republican,10,55,83,96
412670,0.7497533497893543,0.589198315649453,Walker,Republican,rank-and-file Republican,7,77,68,88
412538,0.7993513856431481,0.6150526491582298,Walorski,Republican,rank-and-file Republican,7,143,40,42
412574,0.9363420426420787,0.3810966969071078,Weber,Republican,conservative Republican,1,164,0,0
412564,0.7323193054270986,0.586787797768191,Wenstrup,Republican,rank-and-file Republican,5,74,40,42
412610,0.8596299437396263,0.4236396065118594,Westerman,Republican,conservative Republican,7,94,57,73
412578,0.8093720720868007,0.6136486933790873,Williams,Republican,rank-and-file Republican,6,56,42,51
400433,0.8216158377340167,0.8711453599664919,Wilson [SC2],Republican,moderate Republican leader,8,130,377,470
412255,0.8013640234910292,0.40756522123068645,Wittman,Republican,rank-and-file Republican,13,127,14,16
412402,0.6900730003076146,0.46536209323036,Womack,Republican,rank-and-file Republican,3,48,21,23
400440,0.6903603102061023,0.6850467425489231,Young,Republican,moderate Republican leader,29,172,119,152
400639,0.259548798159402,0.15392876991349544,Cleaver,Democrat,moderate Democratic follower,6,153,21,21
400402,0.27310458921524455,0.6503405839907165,Thompson [MS2],Democrat,rank-and-file Democrat,13,240,198,382
400075,0.24557252212637573,0.5676562346897425,Clyburn,Democrat,rank-and-file Democrat,7,75,127,246
400122,0.22941760514711554,0.9609500922749644,Engel,Democrat,moderate Democratic leader,39,248,313,879
412553,0.6656422604825567,0.5710364500535331,Holding,Republican,rank-and-file Republican,5,60,40,45
400220,0.9029099609623973,0.7648745983541767,King [IA4],Republican,conservative Republican leader,33,121,103,227
412468,0.6552387617486707,0.5469595404219607,Marino,Republican,rank-and-file Republican,3,9,1,1
412569,0.7805078030588785,0.47418386487638764,Perry,Republican,rank-and-file Republican,8,90,48,87
412393,0.5926611200960802,0.8395830750001311,Reed,Republican,moderate Republican leader,8,86,83,96
400314,0.29607903057656904,0.008531791607636105,Pelosi,Democrat,moderate Democratic follower,1,16,0,0
400422,0.18077950672199072,0.756080025579169,Waters,Democrat,progressive Democratic leader,17,119,114,218
400630,0.4110119814182534,0.5774152744222888,Lipinski,Democrat,centrist Democrat,14,206,65,80
400004,0.7085558014628617,0.27685561438567013,Aderholt,Republican,rank-and-file Republican,1,43,1,1
412437,0.756442614324036,0.3773817746901398,Huizenga,Republican,rank-and-file Republican,2,67,6,6
400316,0.6836864484960774,0.5415106619331227,Peterson,Democrat,centrist Democrat,11,110,169,214
412310,0.9479374674373846,0.8909103760468292,Roe,Republican,conservative Republican leader,15,133,97,119
412410,0.7410615752605734,0.2546501090105353,Webster,Republican,rank-and-file Republican,3,65,37,39
400291,0.35324516755555985,0.7886372207764528,Neal,Democrat,centrist Democratic leader,12,87,220,263
412653,0.8101451359416126,0.5826893764631771,Ratcliffe,Republican,rank-and-file Republican,6,85,38,45
400108,0.5723622738141512,0.4118772614989982,Diaz-Balart,Republican,rank-and-file Republican,3,81,35,36
400365,0.7526536233266807,0.851437467795897,Sensenbrenner,Republican,moderate Republican leader,14,88,277,338
412608,0.6985176495512629,0.6746442326005926,Palmer,Republican,rank-and-file Republican,5,51,94,141
400651,0.9076015008260945,0.4087470342446856,Gohmert,Republican,conservative Republican,7,86,23,23
400404,0.5972435906900556,0.41528468983633865,Thornberry,Republican,rank-and-file Republican,4,27,19,20
400114,0.33570792114315645,0.6388071157454526,Doyle,Democrat,rank-and-file Democrat,4,168,215,268
400111,0.27868717810026705,0.7604244374514797,Doggett,Democrat,moderate Democratic leader,14,115,156,378
412634,0.736309793858008,0.20363277626160642,Moolenaar,Republican,rank-and-file Republican,6,81,31,33
412485,0.6933802242374051,0.7689151263811257,Griffith,Republican,moderate Republican leader,18,54,39,42
412584,0.33975229255090666,0.5128974164060001,Heck,Democrat,rank-and-file Democrat,8,206,65,104
412615,0.2803479937463297,0.33638566450819724,Aguilar,Democrat,rank-and-file Democrat,2,179,2,2
412261,0.6218353173446175,0.6445615332327086,Scalise,Republican,rank-and-file Republican,5,37,112,165
412282,0.30699871386694205,0.4471973219534768,Himes,Democrat,rank-and-file Democrat,8,228,55,61
412476,0.7176267969710531,0.32882421700465986,Fleischmann,Republican,rank-and-file Republican,4,79,7,7
400068,0.6832456636514522,0.45262507924363976,Carter [TX31],Republican,rank-and-file Republican,2,40,2,2
412295,0.8007606395435849,0.6487551910973013,McClintock,Republican,rank-and-file Republican,4,75,92,113
400349,0.39665942144012284,0.16994306573510104,Ruppersberger,Democrat,centrist Democratic follower,6,178,23,23
412438,0.45694842497800575,0.31045188587289724,Amash,Independent,centrist Independent,7,23,23,41
412675,0.6310523260201082,0.5006712179933585,Davidson,Republican,rank-and-file Republican,7,54,47,72
412677,0.20484758028671055,0.2103303874245655,Evans,Democrat,rank-and-file Democrat,9,143,59,78
412687,0.15233178514976792,0.34198423057349414,Barragán,Democrat,progressive Democrat,7,195,12,12
412689,0.2465485334336785,0.21134718576410896,Blunt Rochester,Democrat,rank-and-file Democrat,5,184,36,36
412707,0.23427337209032434,0.6363301291124707,Brown,Democrat,rank-and-file Democrat,27,207,173,403
412686,0.2280890180225963,0.5832003079583543,Carbajal,Democrat,rank-and-file Democrat,13,314,166,233
412696,0.24860959960234466,0.4310004189145494,Demings,Democrat,rank-and-file Democrat,5,172,26,30
412730,0.11689399660663134,0.6141510544621344,Jayapal,Democrat,progressive Democrat,11,275,155,333
412684,0.15609123144497775,0.5887292511570208,Khanna,Democrat,progressive Democrat,5,429,118,183
412728,0.22106417118066912,0.5580107693922922,McEachin,Democrat,rank-and-file Democrat,6,148,140,179
412685,0.2853895276178685,0.6411846605361753,Panetta,Democrat,rank-and-file Democrat,11,246,272,413
